Analog Input 12608,Present value,3.3,,
Analog Input 12608,Units,kilowatts,,
Analog Input 12609,Object name,0454_AHU11.SFVFD:DRIVE TEMP,,
Analog Input 12609,Present value,37,,
Analog Input 12609,Units,degrees fahrenheit,,
Analog Input 12610,Object name,0454_AHU11.SFVFD:DRIVE KWH,,
Analog Input 12610,Present value,991.7,,
Analog Input 12610,Units,,,
Analog Input 12611,Object name,0454_AHU11.SFVFD:DRIVE MWH,,
Analog Input 12611,Present value,39,,
Analog Input 12611,Units,,,
Analog Input 12612,Object name,0454_AHU11.SFVFD:RUN TIME,,
Analog Input 12612,Present value,6462,,
Analog Input 12612,Units,,,
Analog Input 12613,Object name,0454_AHU11.SFVFD:DC BUS VOLT,,
Analog Input 12613,Present value,649,,
Analog Input 12613,Units,volts,,
Analog Input 12614,Object name,0454_AHU11.SFVFD:AC OUT VOLT,,
Analog Input 12614,Present value,330.3,,
Analog Input 12614,Units,volts,,
Analog Input 12615,Object name,0454_AHU11.SFVFD:PAR N9.01,,
Analog Input 12615,Present value,24,,
Analog Input 12615,Units,,,
Analog Input 12616,Object name,0454_AHU11.SFVFD:RUN TIMEX10K,,
Analog Input 12616,Present value,1,,
Analog Input 12616,Units,megavolt amperes,,
Analog Input 12617,Object name,0454_AHU11.SFVFD:FAULT CODE,,
Analog Input 12617,Present value,0,,
Analog Input 12617,Units,,,
Analog Input 12662,Object name,0454_AHU11.SFVFD:PID FEEDBACK,,
Analog Input 12662,Present value,0,,
Analog Input 12662,Units,percent,,
Analog Input 12666,Object name,0454_AHU11.SFVFD:LST FLT CODE,,
Analog Input 12666,Present value,30,,
Analog Input 12666,Units,,,
Analog Input 12667,Object name,0454_AHU11.SFVFD:FREF.FLT,,
Analog Input 12667,Present value,14.999999,,
Analog Input 12667,Units,hertz,,
Analog Input 12668,Object name,0454_AHU11.SFVFD:OUT FREQ.FLT,,
Analog Input 12668,Present value,0,,
Analog Input 12668,Units,hertz,,
Analog Input 12669,Object name,0454_AHU11.SFVFD:OUT CUR.FLT,,
Analog Input 12669,Present value,0,,
Analog Input 12669,Units,,,
Analog Input 12671,Object name,0454_AHU11.SFVFD:RD PARAM DAT,,
Analog Input 12671,Present value,0,,
Analog Input 12671,Units,,,
Analog Input 12675,Object name,0454_AHU11.SFVFD:OUT VOLT.FLT,,
Analog Input 12675,Present value,0,,
Analog Input 12675,Units,volts,,
Analog Input 12676,Object name,0454_AHU11.SFVFD:DC BUS.FLT,,
Analog Input 12676,Present value,665,,
Analog Input 12676,Units,volts,,
Analog Input 12677,Object name,0454_AHU11.SFVFD:OUT PWR.FLT,,
